image_path,mask_path,scene_token,sample_token
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489296012404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489296012404.png,6f83169d067343658251f72e1dd17dbc,8687ba92abd3406aa797115b874ebeba
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489296512409.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489296512409.png,6f83169d067343658251f72e1dd17dbc,5bbeb4e68d51413f81a370cb33ef27fb
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489297012404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489297012404.png,6f83169d067343658251f72e1dd17dbc,e9a1c915c0d641d0b0a3019112a1ee90
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489297512404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489297512404.png,6f83169d067343658251f72e1dd17dbc,f5b8088835f247b8a5434a9f0daadc20
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489298012404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489298012404.png,6f83169d067343658251f72e1dd17dbc,2021b6b367984ad7b18464a550d0ae8d
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489298512404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489298512404.png,6f83169d067343658251f72e1dd17dbc,7315022fc89147a6afc7f978601f8f38
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489299012404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489299012404.png,6f83169d067343658251f72e1dd17dbc,dc03fe4e0a374592af7701c66d5276c4
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489299512404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489299512404.png,6f83169d067343658251f72e1dd17dbc,b7f64f73e8a548488e6d85d9b0e13242
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489300012404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489300012404.png,6f83169d067343658251f72e1dd17dbc,6dabc0fb1df045558f802246dd186b3f
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489300512404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489300512404.png,6f83169d067343658251f72e1dd17dbc,82597244941b4e79aa3e1e9cc6386f8b
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489301012404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489301012404.png,6f83169d067343658251f72e1dd17dbc,8bf071b1b92c4ff1bd5016bfb30de3f7
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489301512404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489301512404.png,6f83169d067343658251f72e1dd17dbc,b8766f4291d5449d95bab459ca724ad8
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489302012404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489302012404.png,6f83169d067343658251f72e1dd17dbc,dde297c8e12f44c4bc2f2c80e49d2b5a
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489302512404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489302512404.png,6f83169d067343658251f72e1dd17dbc,a0462df7186d4ca99ef58f455d53a42c
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303012421.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303012421.png,6f83169d067343658251f72e1dd17dbc,d7bea9a3552b40e29d42324108dff575
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303412404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303412404.png,6f83169d067343658251f72e1dd17dbc,3ffc4360d1084e6eae5067e87d79503f
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404.png,6f83169d067343658251f72e1dd17dbc,05bc09f952ab4cf8b754405f20d503c5
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404.png,6f83169d067343658251f72e1dd17dbc,a860c02c06e54d9dbe83ce7b694f6c17
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404.png,6f83169d067343658251f72e1dd17dbc,6873840fc1df4796a7b959e13e9fb78a
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404.png,6f83169d067343658251f72e1dd17dbc,4ae9c033164e4e01a0392672686d095c
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404.png,6f83169d067343658251f72e1dd17dbc,ecd49e3c38624c77b8aac8df445d49ba
C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404.jpg,C:\Users\shrey\OneDrive\Documents\Hackathon\Mahe-26\Output\masks_v2\n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404.png,6f83169d067343658251f72e1dd17dbc,ac452a60e8b34a7080c938c904b23057
